domain,name,n_nodes,n_edges,H_20,H_40,H_60,H_80,H_100,seal_entropy,seal_auc,adamic_adar_entropy,adamic_adar_auc,newly_included
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,0.9157458563535912,0.9037725145369452,0.8184311863691512,0.7898384286393157,0.7965213023138991,0.5904714973369622,0.8680785246876859,0.8111066404499118,0.5793813206424747,False
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,1.0,0.8975377283558379,0.8826429980276134,0.8175033921302578,0.7398190045248869,0.7155423559250013,0.6780045351473922,0.630737271787274,0.6258503401360543,False
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,0.9012969883490878,0.8488469420151817,0.7067289949563292,0.6698506373011286,0.6852539564646061,0.4680331643177126,0.9004129583481666,0.749088431291438,0.631306514773941,False
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,0.9419152276295132,0.9993468321358588,0.8841940532081377,0.7786666666666666,0.7878411910669975,0.6410026102086864,0.7665406427221172,0.6962623632778772,0.500945179584121,False
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,1.0335689045936396,0.9981378026070764,0.8996188055908514,0.8811398575178103,0.8335809806835067,0.6970120937757284,0.6405555555555555,0.7941069368103728,0.4994444444444444,False
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,0.9254498714652956,1.0221992772328343,0.835740817168799,0.8654353562005277,0.8282531006937145,0.7008063299757806,0.5165289256198347,0.7333612812032428,0.4545454545454545,False
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,1.0666666666666669,0.8743169398907104,0.8576642335766423,0.8395677472984207,0.8077695914266577,0.6995756396056729,0.6694214876033058,0.6220913406329318,0.793388429752066,False
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,1.0309278350515465,0.8921161825726142,0.4761904761904761,0.5691318327974276,0.5992201928996511,0.5290258677031883,0.8260869565217391,0.6842727487014718,0.5982986767485823,False
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,0.6751054852320676,0.8669179472310815,0.8542886668963141,0.809553739786298,0.8390367553865653,0.6090887239236146,0.8775007694675284,0.8422943872468942,0.3596491228070175,False
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,0.95523765574527,0.95912475307704,0.8115588115588116,0.7447373076242703,0.734208174591976,0.7246539260834512,0.7349218750000001,0.7936162775934246,0.5125,False
Biological,C_elegans_interactomes_2009_Genetic,683,1543,0.8753851057048763,0.872860155981753,0.7972319820221513,0.774407405091,0.7885530711392729,0.5327200845610104,0.8868221875527071,0.6459099677669465,0.759750801146905,False
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,0.7287449392712552,0.1442524417731029,0.1311546840958605,0.2473164448261056,0.3145253526496378,0.0846881254206378,0.9826388888888888,0.6479169585680525,0.4652777777777778,False
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,0.921316542268109,0.8915342867329556,0.7886218159980078,0.7339096388192337,0.7520960965407467,0.4820847156874315,0.8798779296875,0.8488360886155615,0.533427734375,False
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,0.9409691629955949,0.8701420989556582,0.7348463446024422,0.7039461829539312,0.7135749397974008,0.4590696199531296,0.8793055555555556,0.8352718711733389,0.5453333333333333,False
Biological,C_elegans_interactomes_2009_WI8,2214,3538,0.9403825776588032,0.9046987029585466,0.8233562103531145,0.7672576451868147,0.7741649423588531,0.3521385256651534,0.8777580829410482,0.852099111682499,0.5416215697140536,False
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,0.8754567600487211,0.7932362734216883,0.7952619338562813,0.8527636554884921,0.9028102293447684,0.7378655772153014,0.8902038132807364,0.7415722238522339,0.8350992441901532,False
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,0.8769589863287763,0.8628519527702089,0.8531219105588618,0.8936896632917354,0.9313392250169952,0.7132193617262198,0.8855105842019833,0.7364807327920714,0.8512154714650297,False
Biological,C_elegans_posterior_nervous_system_Worm_c_elegans_neural_male_1,269,2902,0.8948450077067991,0.8469907245972522,0.8532461258315062,0.8814381899586451,0.9385852746903538,0.6721657284273574,0.9240368608799048,0.6723665236680398,0.9139506539833532,False
Biological,Cat_brain_2013_Cat_mixed_species_brain_1,65,730,0.944055944055944,0.714377406931964,0.7688162385485898,0.8232600732600732,0.8801541875949072,0.6168993264357217,0.8785419403265152,0.6095226334933601,0.9147354100206418,True
Biological,Cat_cerebral_hemisphere_cortex_and_thalamus,95,1170,0.8643639427127212,0.6810344827586207,0.7391069499459849,0.8438856729377714,0.8690649224806202,0.6141179297308828,0.9008145226093944,0.7009508518366498,0.8640514281539923,True
Biological,Cat_cerebral_hemisphere_cortex_only,52,515,0.8851674641148326,0.7251675807434491,0.6314988587370023,0.9474232170744404,0.8683473389355741,0.6256056308878795,0.8749175228579508,0.6135392974517966,0.8742105759261005,True
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,0.8264711789515967,0.7238085508504878,0.6843755764619074,0.7445906326476217,0.7926772257232081,0.5755169968377496,0.9352623249425184,0.8848054509751812,0.4316939890710382,False
Biological,Cold_Lake_host-parasite_web_Cold_Lake,50,91,0.8627450980392157,0.8774834437086093,0.875,0.6980802792321117,0.8181265206812651,0.5012284433819969,0.8858024691358025,0.7123973480961188,0.3888888888888889,False
Biological,Dupont_plant-pollinator_web_Dupont_plant-pollinator_web,49,106,0.9582309582309582,0.8324324324324325,0.8650742414460942,0.8260373049105444,0.8757961783439491,0.5481358958010906,0.91156462585034,0.7298492291704377,0.3571428571428571,False
Biological,Elberling_Olesen_plant-pollinator_web_Elberling_Olesen_plant-pollinator_web,141,238,0.9227967953386744,0.8058394160583942,0.7292707292707292,0.6992245952931574,0.7476385671003386,0.5346668046596015,0.88909008601177,0.8258652820123958,0.425531914893617,False
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,1.1956521739130437,0.930930930930931,0.9836065573770492,0.8823529411764706,0.885547201336675,0.4314427109160555,0.673469387755102,0.5795586742010627,0.5,False
Biological,Freshwater_stream_webs_AkatoreA,84,227,0.6659267480577137,0.7493061979648474,0.7250405374102387,0.7120980091883614,0.8938186517337928,0.5130276269388524,0.8948148148148147,0.859676000199216,0.3409876543209876,True
Biological,Freshwater_stream_webs_AkatoreB,54,117,0.8143322475570033,0.7285342584562012,0.6310679611650485,0.672019269369731,0.8893557422969188,0.4537541560279867,0.88468809073724,0.8416230297354891,0.439508506616257,True
