domain,name,n_nodes,n_edges,method,level,value,coarsen_seconds,n_nodes_reduced,n_edges_reduced
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_neighborhood,40,0.7379636937647988,0.235709374999999,110.0,420.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_neighborhood,20,0.8448182311448724,0.1176096669999999,55.0,178.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_edges,100,0.6820939816650446,0.0,273.0,3933.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_edges,80,0.776161052421766,0.6401770829999993,219.0,2354.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_edges,60,0.8093688131270763,0.3672153750000007,164.0,1480.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_edges,40,0.8295598623437783,0.1940320409999998,110.0,727.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_edges,20,0.878330582409809,0.0864932499999984,55.0,274.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_neighborhood,100,0.6510012884627984,0.0,297.0,7562.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_neighborhood,80,0.7360049803471594,1.0519509580000008,239.0,4375.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_neighborhood,60,0.7163314663951119,0.659392458000001,180.0,2612.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_neighborhood,40,0.7720315398886828,0.4376557500000011,120.0,1268.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_neighborhood,20,0.8107638888888888,0.2171262499999997,60.0,397.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_edges,100,0.6522975929978119,0.0,297.0,7562.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_edges,80,0.7687299951174523,0.8474465420000001,238.0,4498.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_edges,60,0.8076353921480997,0.497170208,179.0,2938.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_edges,40,0.8538285875957399,0.3213953750000016,119.0,1625.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_9,297,7562,variation_edges,20,0.855794226296347,0.125956084000002,60.0,646.0
