domain,name,n_nodes,n_edges,level,measure,value,auc
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,80,spectral_entropy,0.837716554286288,
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,60,spectral_entropy,0.8444366010765022,
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,40,spectral_entropy,0.8997641946196867,
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,20,spectral_entropy,0.835866656273547,
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,100,adamic_adar_entropy,24.219069570240663,0.662632131041717
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,100,seal_entropy,0.7326823191653452,0.8925484500263432
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,100,spectral_entropy,0.8088076469086617,
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,80,spectral_entropy,0.7951419811952743,
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,60,spectral_entropy,0.8259287291729307,
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,40,spectral_entropy,0.9131205673758864,
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,20,spectral_entropy,0.90317287075525,
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,100,adamic_adar_entropy,39.389949016889226,0.6281384327037967
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,100,seal_entropy,0.7097108346237602,0.9000087083343468
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,100,spectral_entropy,0.770757853987791,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,80,spectral_entropy,0.7639100152109519,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,60,spectral_entropy,0.797444700360697,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,40,spectral_entropy,0.8939110834297239,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,20,spectral_entropy,0.8600973901624993,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,100,adamic_adar_entropy,25.521008096593057,0.580027315296566
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,100,seal_entropy,0.7930859018614124,0.817654136316337
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,100,spectral_entropy,0.7965213023138991,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,80,spectral_entropy,0.7898384286393157,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,60,spectral_entropy,0.8184311863691512,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,40,spectral_entropy,0.9037725145369452,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,20,spectral_entropy,0.9157458563535912,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,100,adamic_adar_entropy,8.792832723593841,0.5793813206424747
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_ht,537,1028,100,seal_entropy,0.7018508303004515,0.857180249851279
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,100,spectral_entropy,0.7398190045248869,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,80,spectral_entropy,0.8175033921302578,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,60,spectral_entropy,0.8826429980276134,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,40,spectral_entropy,0.8975377283558379,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,20,spectral_entropy,1.0,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,100,adamic_adar_entropy,2.658054352647982,0.6258503401360543
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_lc,81,108,100,seal_entropy,0.8729818254902022,0.6734693877551019
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,100,spectral_entropy,0.6852539564646061,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,80,spectral_entropy,0.6698506373011286,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,60,spectral_entropy,0.7067289949563292,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,40,spectral_entropy,0.8488469420151817,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,20,spectral_entropy,0.9012969883490878,
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,100,adamic_adar_entropy,19.69804858035345,0.631306514773941
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_cocomp_hq,890,1329,100,seal_entropy,0.7172966698473099,0.8996368814524742
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,100,spectral_entropy,0.7878411910669975,
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,80,spectral_entropy,0.7786666666666666,
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,60,spectral_entropy,0.8841940532081377,
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,40,spectral_entropy,0.9993468321358588,
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,20,spectral_entropy,0.9419152276295132,
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,100,adamic_adar_entropy,,0.500945179584121
Biological,Binary_interactomes_various species_2012_R_norvegicus_rat_cocomp_hq,104,117,100,seal_entropy,0.8164050736257739,0.7665406427221172
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,100,spectral_entropy,0.8335809806835067,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,80,spectral_entropy,0.8811398575178103,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,60,spectral_entropy,0.8996188055908514,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,40,spectral_entropy,0.9981378026070764,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,20,spectral_entropy,1.0335689045936396,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,100,adamic_adar_entropy,1.0,0.4994444444444444
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_hq,129,153,100,seal_entropy,0.9306901647960262,0.6172222222222221
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,100,spectral_entropy,0.8282531006937145,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,80,spectral_entropy,0.8654353562005277,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,60,spectral_entropy,0.835740817168799,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,40,spectral_entropy,1.0221992772328343,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,20,spectral_entropy,0.9254498714652956,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,100,adamic_adar_entropy,,0.4545454545454545
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_ht,96,114,100,seal_entropy,0.9861364237598051,0.53099173553719
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,100,spectral_entropy,0.8077695914266577,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,80,spectral_entropy,0.8395677472984207,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,60,spectral_entropy,0.8576642335766423,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,40,spectral_entropy,0.8743169398907104,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,20,spectral_entropy,1.0666666666666669,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,100,adamic_adar_entropy,1.1661261891384185,0.793388429752066
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_binary_lc,28,56,100,seal_entropy,0.9059728783410804,0.6694214876033058
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,100,spectral_entropy,0.5992201928996511,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,80,spectral_entropy,0.5691318327974276,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,60,spectral_entropy,0.4761904761904761,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,40,spectral_entropy,0.8921161825726142,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,20,spectral_entropy,1.0309278350515465,
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,100,adamic_adar_entropy,2.340590609093672,0.5982986767485823
Biological,Binary_interactomes_various species_2012_S_pombe_972H_fission_yeast_cocomp_hq,90,118,100,seal_entropy,0.6861932915059326,0.8260869565217391
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,100,spectral_entropy,0.8390367553865653,
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,80,spectral_entropy,0.809553739786298,
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,60,spectral_entropy,0.8542886668963141,
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,40,spectral_entropy,0.8669179472310815,
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,20,spectral_entropy,0.6751054852320676,
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,100,adamic_adar_entropy,-0.0,0.3596491228070175
Biological,Bluthgen_plant-ant_web_Bluthgen_plant-ant_web,92,285,100,seal_entropy,0.705020443959568,0.8778085564789166
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,100,spectral_entropy,0.734208174591976,
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,80,spectral_entropy,0.7447373076242703,
