domain,name,n_nodes,n_edges,level,measure,value,auc,H_raw,denom
Biological,56e98770a6d70217090cde47,224,348,100,seal_entropy,0.6454437791702812,0.900861163621088,4.393764887046275,6.807354922057604
Biological,56e98770a6d70217090cde47,224,348,20,spectral_entropy,0.7988631394840402,,,
Biological,56e98770a6d70217090cde47,224,348,40,spectral_entropy,0.7748841667998083,,,
Biological,56e98770a6d70217090cde47,224,348,60,spectral_entropy,0.7848484848484848,,,
Biological,56e98770a6d70217090cde47,224,348,80,spectral_entropy,0.7717291534279461,,,
Biological,56e98770a6d70217090cde47,224,348,100,spectral_entropy,0.762820871315922,,,
Biological,56e98770a6d70217090cde49,311,474,100,adamic_adar_entropy,0.7210721114528353,0.6212086917157085,5.24996075222216,7.280770770130603
Biological,56e98770a6d70217090cde49,311,474,100,seal_entropy,0.6467925970481485,0.8929379809868719,4.709148634925021,7.280770770130603
Biological,56e98770a6d70217090cde49,311,474,20,spectral_entropy,0.908625543895572,,,
Biological,56e98770a6d70217090cde49,311,474,40,spectral_entropy,0.8757355486327448,,,
Biological,56e98770a6d70217090cde49,311,474,60,spectral_entropy,0.8315334773218143,,,
Biological,56e98770a6d70217090cde49,311,474,80,spectral_entropy,0.8239062969266193,,,
Biological,56e98770a6d70217090cde49,311,474,100,spectral_entropy,0.8246788214478036,,,
Biological,56e98770a6d70217090cde4a,281,429,100,adamic_adar_entropy,0.7445673902379742,0.6176470588235294,5.312061186092009,7.134426320220927
Biological,56e98770a6d70217090cde4a,281,429,100,seal_entropy,0.6152416978780703,0.8764013840830449,4.389396562638716,7.134426320220927
Biological,56e98770a6d70217090cde4a,281,429,20,spectral_entropy,0.8438818565400844,,,
Biological,56e98770a6d70217090cde4a,281,429,40,spectral_entropy,0.803763440860215,,,
Biological,56e98770a6d70217090cde4a,281,429,60,spectral_entropy,0.7694184627897519,,,
Biological,56e98770a6d70217090cde4a,281,429,80,spectral_entropy,0.7604840979453983,,,
Biological,56e98770a6d70217090cde4a,281,429,100,spectral_entropy,0.7731121934096793,,,
Biological,56e98770a6d70217090cde4d,305,465,100,adamic_adar_entropy,0.7739131810280094,0.5804139206844723,5.6129333757594555,7.252665432450248
Biological,56e98770a6d70217090cde4d,305,465,100,seal_entropy,0.6646923209487,0.8971557405480404,4.8207910193597625,7.252665432450248
Biological,56e98770a6d70217090cde4d,305,465,20,spectral_entropy,0.9050599895670318,,,
Biological,56e98770a6d70217090cde4d,305,465,40,spectral_entropy,0.8754359740906826,,,
Biological,56e98770a6d70217090cde4d,305,465,60,spectral_entropy,0.8402282453637661,,,
Biological,56e98770a6d70217090cde4d,305,465,80,spectral_entropy,0.8381532217148655,,,
Biological,56e98770a6d70217090cde4d,305,465,100,spectral_entropy,0.8211340409580554,,,
Biological,56e98770a6d70217090cde4e,199,311,100,adamic_adar_entropy,0.744528143137271,0.605098855359001,4.941153805432458,6.636624620543649
Biological,56e98770a6d70217090cde4e,199,311,100,seal_entropy,0.6917402087635361,0.8844953173777316,4.590820100500087,6.636624620543649
Biological,56e98770a6d70217090cde4e,199,311,20,spectral_entropy,0.8956310679611651,,,
Biological,56e98770a6d70217090cde4e,199,311,40,spectral_entropy,0.8629441624365481,,,
Biological,56e98770a6d70217090cde4e,199,311,60,spectral_entropy,0.8396062536189924,,,
Biological,56e98770a6d70217090cde4e,199,311,80,spectral_entropy,0.8398261297465759,,,
Biological,56e98770a6d70217090cde4e,199,311,100,spectral_entropy,0.836934417895272,,,
Biological,56e98770a6d70217090cde4f,192,307,100,adamic_adar_entropy,0.6714680835332884,0.6585595270088684,4.421592150497805,6.584962500721156
Biological,56e98770a6d70217090cde4f,192,307,100,seal_entropy,0.5712748094490306,0.9101048105348024,3.761823197828491,6.584962500721156
Biological,56e98770a6d70217090cde4f,192,307,20,spectral_entropy,0.9885304659498207,,,
Biological,56e98770a6d70217090cde4f,192,307,40,spectral_entropy,0.8767236056801812,,,
Biological,56e98770a6d70217090cde4f,192,307,60,spectral_entropy,0.8733118971061093,,,
Biological,56e98770a6d70217090cde4f,192,307,80,spectral_entropy,0.8476330085366904,,,
Biological,56e98770a6d70217090cde4f,192,307,100,spectral_entropy,0.833712391968289,,,
Biological,56e98770a6d70217090cde51,251,399,100,adamic_adar_entropy,0.7813811678195612,0.5949367088607596,5.447432843690988,6.971543553950772
Biological,56e98770a6d70217090cde51,251,399,100,seal_entropy,0.6412504371262865,0.9080275596859476,4.470505351415877,6.971543553950772
Biological,56e98770a6d70217090cde51,251,399,20,spectral_entropy,0.8480331262939959,,,
Biological,56e98770a6d70217090cde51,251,399,40,spectral_entropy,0.8740068104426788,,,
Biological,56e98770a6d70217090cde51,251,399,60,spectral_entropy,0.8415544308141031,,,
Biological,56e98770a6d70217090cde51,251,399,80,spectral_entropy,0.8474053987427586,,,
Biological,56e98770a6d70217090cde51,251,399,100,spectral_entropy,0.8192507259484935,,,
Biological,56e9e0d7a6d70217090cdfa0,300,712,100,adamic_adar_entropy,0.8361646050306369,0.6147341797262448,6.044482325176575,7.228818690495881
Biological,56e9e0d7a6d70217090cdfa0,300,712,100,seal_entropy,0.625149822795969,0.8687264431660385,4.519094723387688,7.228818690495881
Biological,56e9e0d7a6d70217090cdfa0,300,712,20,spectral_entropy,0.7623485554520038,,,
Biological,56e9e0d7a6d70217090cdfa0,300,712,40,spectral_entropy,0.6813402495443712,,,
Biological,56e9e0d7a6d70217090cdfa0,300,712,60,spectral_entropy,0.7268527619422056,,,
Biological,56e9e0d7a6d70217090cdfa0,300,712,80,spectral_entropy,0.7404924857122699,,,
Biological,56e9e0d7a6d70217090cdfa0,300,712,100,spectral_entropy,0.7589830424064344,,,
Biological,56e9e0d7a6d70217090cdfcb,774,1818,100,adamic_adar_entropy,0.7987860240863289,0.6593356555790816,6.866516237602223,8.59618975614441
Biological,56e9e0d7a6d70217090cdfcb,774,1818,100,seal_entropy,0.4871269085811137,0.8994414467742793,4.187435341487264,8.59618975614441
Biological,56e9e0d7a6d70217090cdfcb,774,1818,20,spectral_entropy,0.6982040044685056,,,
Biological,56e9e0d7a6d70217090cdfcb,774,1818,40,spectral_entropy,0.6893417035436178,,,
Biological,56e9e0d7a6d70217090cdfcb,774,1818,60,spectral_entropy,0.6782589101288166,,,
Biological,56e9e0d7a6d70217090cdfcb,774,1818,80,spectral_entropy,0.68827695359064,,,
Biological,56e9e0d7a6d70217090cdfcb,774,1818,100,spectral_entropy,0.7351786415390655,,,
Biological,56e9e0d7a6d70217090cdfcd,360,887,100,adamic_adar_entropy,0.8673664417520255,0.5677327715535128,6.498181962292364,7.491853096329674
Biological,56e9e0d7a6d70217090cdfcd,360,887,100,seal_entropy,0.6344725689720782,0.8649972868588208,4.753375280389706,7.491853096329674
Biological,56e9e0d7a6d70217090cdfcd,360,887,20,spectral_entropy,0.6376146788990825,,,
Biological,56e9e0d7a6d70217090cdfcd,360,887,40,spectral_entropy,0.7198379422433694,,,
Biological,56e9e0d7a6d70217090cdfcd,360,887,60,spectral_entropy,0.7271284121889775,,,
Biological,56e9e0d7a6d70217090cdfcd,360,887,80,spectral_entropy,0.7550048667561097,,,
Biological,56e9e0d7a6d70217090cdfcd,360,887,100,spectral_entropy,0.770479761858739,,,
Biological,56e9e0d7a6d70217090cdfce,354,856,100,adamic_adar_entropy,0.8455315682345848,0.5630279402209227,6.314096231718965,7.467605550082997
Biological,56e9e0d7a6d70217090cdfce,354,856,100,seal_entropy,0.6789706253816542,0.8281864505317875,5.070284810443364,7.467605550082997
Biological,56e9e0d7a6d70217090cdfce,354,856,20,spectral_entropy,0.6497909368290202,,,
Biological,56e9e0d7a6d70217090cdfce,354,856,40,spectral_entropy,0.7422640968004208,,,
Biological,56e9e0d7a6d70217090cdfce,354,856,60,spectral_entropy,0.7484357997823721,,,
Biological,56e9e0d7a6d70217090cdfce,354,856,80,spectral_entropy,0.7746680179829006,,,
Biological,56e9e0d7a6d70217090cdfce,354,856,100,spectral_entropy,0.7913625427121455,,,
Biological,56e9e0d7a6d70217090cdfcf,546,1289,100,adamic_adar_entropy,0.8419214520102846,0.606988750775939,6.813465842849841,8.092757140919852
Biological,56e9e0d7a6d70217090cdfcf,546,1289,100,seal_entropy,0.5915561194604944,0.91015761025905,4.787320010018753,8.092757140919852
Biological,56e9e0d7a6d70217090cdfcf,546,1289,20,spectral_entropy,0.6349466776045939,,,
Biological,56e9e0d7a6d70217090cdfcf,546,1289,40,spectral_entropy,0.6980398423351443,,,
Biological,56e9e0d7a6d70217090cdfcf,546,1289,60,spectral_entropy,0.6854871921588008,,,
Biological,56e9e0d7a6d70217090cdfcf,546,1289,80,spectral_entropy,0.7137720806628107,,,
Biological,56e9e0d7a6d70217090cdfcf,546,1289,100,spectral_entropy,0.7309595922287065,,,
Biological,56e9e0d7a6d70217090cdfd1,965,2353,100,adamic_adar_entropy,0.8072231824824964,0.6592394748755092,7.195898336253165,8.914385132155443
Biological,56e9e0d7a6d70217090cdfd1,965,2353,100,seal_entropy,0.4810165109965216,0.8767632412856496,4.287966433948678,8.914385132155443
Biological,56e9e0d7a6d70217090cdfd1,965,2353,20,spectral_entropy,0.668283775312747,,,
Biological,56e9e0d7a6d70217090cdfd1,965,2353,40,spectral_entropy,0.673781478228436,,,
Biological,56e9e0d7a6d70217090cdfd1,965,2353,60,spectral_entropy,0.6811090309351877,,,
Biological,56e9e0d7a6d70217090cdfd1,965,2353,80,spectral_entropy,0.6764493519943404,,,
Biological,56e9e0d7a6d70217090cdfd1,965,2353,100,spectral_entropy,0.6989493476920448,,,
Biological,56e9e0d7a6d70217090cdfd4,725,1657,100,adamic_adar_entropy,0.8175040969770428,0.6348928907184126,6.950286730489395,8.501837184902296
